"","Molecular.Formula","Theor_mz","DBE","HC","OC","NC","C","H","N","O","S","AI","AImod","NOSC","Count","Compound.category","Class","D1","D2","D3","D4","D5","D6","D7","D8","D9","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","I1","I2","I3"
"174","C12H17O9N1S0",318.083055,5,1.41666666667,0.75,0.0833333333333333,12,17,1,9,0,0,0,0.333333333333333,36,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0.434009970568151,0.411871285207923,0.382381063073446,0,0.345284617900088,0.412010277891965,0,0,0.417451683722004,0.400652228743033,0.369474581881669,0.346610976395622,0,0.510637110172487,0.397916490694038,0.420888234829759,0,0.362507767085487,0.437520787422559,0.43358912632692,0.322658810462378,0.367577350024485,0.335510106204613,0.364072817984048,0.326848543025569,0.325555652258107,0.461238030745645,0,0,0,0.344477858005898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","C12H18O10N0S0",321.08272,4,1.5,0.833333333333,0,12,18,0,10,0,0,0,0.166666666666667,37,"Aliphatic_HighOC","CHO",0,0.430092796242059,0.375460333049774,0.383034816107274,0.392042930331592,0.316251228084,0.331273530039399,0,0,0.33406032453706,0,0.30730141412933,0.358023721070286,0,0.320035294968537,0.327375022470705,0,0.34967898008744,0,0.324443484001828,0.417396388150765,0,0,0,0.34680393869215,0,0,0.348971897899323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","C12H18O10N0S1",353.054791,4,1.5,0.833333333333,0,12,18,0,10,1,0,0,0.333333333333333,3,"Aliphatic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","C12H18O11N0S0",337.077635,4,1.5,0.916666666667,0,12,18,0,11,0,0,0,0.333333333333333,9,"Sugars_wo_X","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","C12H18O12N0S0",353.072549,4,1.5,1,0,12,18,0,12,0,0,0,0.5,1,"Sugars_wo_X","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","C12H18O4N0S0",225.113233,4,1.5,0.333333333333,0,12,18,0,4,0,0,0.2,-0.833333333333333,18,"Aliphatic_LowOC","CHO",0,0.868984763205092,0.912143969687676,0.874643849905617,0,0.827558245070096,0.805988696228612,0.92659273402452,0.972169620834525,0,0.834071105870015,0.766521125691137,0.8840524552792,0,0.788941350790848,0,0,0,0,0,0.920799616680613,0.848624144672449,0.854331659773314,0.87344420079144,0,0.915505353870409,0,0.948812839667184,0,0.742463969879857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","C12H19O10N1S0",336.093619,4,1.58333333333,0.833333333333,0.0833333333333333,12,19,1,10,0,0,0,0.333333333333333,5,"Peptide_like","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3556576439821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392991179384568,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","C12H19O11N1S0",352.088534,4,1.58333333333,0.916666666667,0.0833333333333333,12,19,1,11,0,0,0,0.5,1,"Sugars_w_X","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","C12H19O6N1S0",272.113961,4,1.58333333333,0.5,0.0833333333333333,12,19,1,6,0,0,0,-0.333333333333333,3,"Peptide_like","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","C12H19O7N1S0",288.108875,4,1.58333333333,0.583333333333,0.0833333333333333,12,19,1,7,0,0,0,-0.166666666666667,13,"Peptide_like","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
