"","Molecular.Formula","Theor_mz","DBE","HC","OC","NC","C","H","N","O","S","AI","AImod","NOSC","Count","Compound.category","Class","D1","D2","D3","D4","D5","D6","D7","D8","D9","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","F9","G1","G2","G3","G4","G5","G6","G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","I1","I2","I3"
"3272","C25H18O16N0S0",573.052208,17,0.72,0.64,0,25,18,0,16,0,0.111111111111111,0.529411764705882,0.56,8,"Polyphenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3273","C25H18O17N0S0",589.047123,17,0.72,0.68,0,25,18,0,17,0,0,0.515151515151515,0.64,3,"Polyphenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3274","C25H20O11N0S0",495.093285,16,0.8,0.44,0,25,20,0,11,0,0.357142857142857,0.538461538461538,0.0800000000000001,5,"Polyphenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3275","C25H20O12N0S0",511.0882,16,0.8,0.48,0,25,20,0,12,0,0.307692307692308,0.526315789473684,0.16,16,"Polyphenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355824262655028,0,0,0.399121069959243,0,0,0,0,0,0,0,0,0,0,0,0,0
"3276","C25H20O13N0S0",527.083114,16,0.8,0.52,0,25,20,0,13,0,0.25,0.513513513513513,0.24,40,"Polyphenolic_HighOC","CHO",0,0,0,0,0.331450097595207,0,0,0,0,0.330190513856165,0,0,0,0,0,0,0,0.303791129817739,0,0.363112008070072,0,0,0,0,0,0,0,0.375550240363832,0,0,0.405774392456009,0.357418856634703,0.366364322718554,0.34949716416419,0,0,0,0.3110122905102,0,0.352130726752134,0,0,0,0,0,0,0,0
"3280","C25H20O17N0S0",591.062773,16,0.8,0.68,0,25,20,0,17,0,0,0.454545454545455,0.56,29,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438935434211205,0,0,0,0.325377326745834,0,0,0,0,0,0,0,0,0,0.313474655906926,0,0
"3281","C25H20O18N0S0",607.057687,16,0.8,0.72,0,25,20,0,18,0,0,0.4375,0.64,10,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3282","C25H20O8N0S0",447.108541,16,0.8,0.32,0,25,20,0,8,0,0.470588235294118,0.571428571428571,-0.16,1,"Polyphenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3283","C25H21O14N1S0",558.088928,16,0.84,0.56,0.04,25,21,1,14,0,0.1,0.470588235294118,0.4,2,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3284","C25H21O15N1S0",574.083842,16,0.84,0.6,0.04,25,21,1,15,0,0,0.454545454545455,0.48,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3285","C25H22O10N0S0",481.11402,15,0.88,0.4,0,25,22,0,10,0,0.333333333333333,0.5,-0.0800000000000001,25,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3286","C25H22O11N0S0",497.108935,15,0.88,0.44,0,25,22,0,11,0,0.285714285714286,0.487179487179487,0,47,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0.358170313797431,0,0.374081093432487,0.33359711089267,0.316083885814039,0.310363513127778,0.43651834065341,0,0.328564136962006,0.39546625638135,0.328210330141933,0.316261592817088,0,0,0,0,0.325674503804994,0.377597455254897,0.308170292692216,0,0.340822841388575,0,0,0,0,0,0,0.336128542050708,0,0.404219980373195,0.396549042808607,0,0,0.386882723122642,0.362080142325173,0.317867210873774,0,0.313723854216297,0,0.309474992487693,0,0.318749327587816,0.357583831094766,0.440362355039861,0.344080873889244,0.315823642435704,0
"3294","C25H22O19N0S0",625.068252,15,0.88,0.76,0,25,22,0,19,0,0,0.354838709677419,0.64,11,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3295","C25H22O20N0S0",641.063167,15,0.88,0.8,0,25,22,0,20,0,0,0.333333333333333,0.72,2,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3296","C25H22O8N0S0",449.124191,15,0.88,0.32,0,25,22,0,8,0,0.411764705882353,0.523809523809524,-0.24,1,"Polyphenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3297","C25H22O9N0S0",465.119106,15,0.88,0.36,0,25,22,0,9,0,0.375,0.51219512195122,-0.16,9,"Polyphenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3298","C25H23O11N1S0",512.119834,15,0.92,0.44,0.04,25,23,1,11,0,0.230769230769231,0.459459459459459,0.0800000000000001,2,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3299","C25H23O12N1S0",528.114749,15,0.92,0.48,0.04,25,23,1,12,0,0.166666666666667,0.444444444444444,0.16,25,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3300","C25H23O13N1S0",544.109663,15,0.92,0.52,0.04,25,23,1,13,0,0.0909090909090909,0.428571428571429,0.24,36,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31688615041216,0,0,0,0,0,0,0,0,0.333227714012724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3301","C25H23O14N1S0",560.104578,15,0.92,0.56,0.04,25,23,1,14,0,0,0.411764705882353,0.32,28,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0.350533969444103,0.396972681802879,0,0,0,0,0,0,0,0,0,0.3406114235256,0,0,0,0,0,0,0,0,0,0,0.315348284201282,0,0,0,0,0.335067481515123,0.307166983003763,0,0,0,0,0,0,0,0,0,0
"3302","C25H23O15N1S0",576.099493,15,0.92,0.6,0.04,25,23,1,15,0,0,0.393939393939394,0.4,11,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3303","C25H23O16N1S0",592.094407,15,0.92,0.64,0.04,25,23,1,16,0,0,0.375,0.48,2,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3307","C25H24O12N2S0",543.125648,15,0.96,0.48,0.08,25,24,2,12,0,0.0909090909090909,0.411764705882353,0.24,1,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324690167659321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3314","C25H24O19N0S0",627.083902,14,0.96,0.76,0,25,24,0,19,0,0,0.290322580645161,0.56,29,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309012831062644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318857906167236,0.340092620714914,0.350676442982451,0,0,0,0,0.327604868453656,0,0,0,0,0,0,0.314928022258245,0,0,0,0
"3315","C25H24O20N0S0",643.078817,14,0.96,0.8,0,25,24,0,20,0,0,0.266666666666667,0.64,3,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3316","C25H24O6N0S0",419.150012,14,0.96,0.24,0,25,24,0,6,0,0.421052631578947,0.5,-0.48,1,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3317","C25H24O7N0S0",435.144927,14,0.96,0.28,0,25,24,0,7,0,0.388888888888889,0.488372093023256,-0.4,4,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3318","C25H24O8N0S0",451.139841,14,0.96,0.32,0,25,24,0,8,0,0.352941176470588,0.476190476190476,-0.32,25,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3320","C25H25O10N1S0",498.140569,14,1,0.4,0.04,25,25,1,10,0,0.214285714285714,0.421052631578947,-0.0800000000000001,37,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3323","C25H25O13N1S0",546.125313,14,1,0.52,0.04,25,25,1,13,0,0,0.371428571428571,0.16,40,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0.559922444750914,0.585316992256321,0.616786942436835,0,0.564195206749901,0.646455811500982,0.59969772320567,0.591651223785942,0.556635240833287,0.522029185527327,0.560761403184098,0.57424727993917,0,0.513498350470713,0.583381395771563,0.662622750086246,0,0,0.641252865629861,0.708027555124225,0.45349226879172,0.539262726975055,0.535022899106537,0.570179000705774,0.519243729190586,0.62591535313336,0.604177105581455,0.632050413066984,0.610268077351887,0,0.642904562171031,0,0.664260096803878,0,0.591237852667886,0.59822823622832,0.555183012778447,0.776315503389121,0.517659289287047,0.614709702278572,0.548502342082222,0.594390386935984,0.607617057998733,0.570529635520482,0.594582934627969,0.651318330224854,0.503848135040058
"3324","C25H25O14N1S0",562.120228,14,1,0.56,0.04,25,25,1,14,0,0,0.352941176470588,0.24,31,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0.561682854268789,0.651619882965243,0.585377817127111,0,0.643544663272168,0.507985592435022,0,0.672583094278669,0.566204120189805,0.557886378991007,0,0.523935111778391,0,0,0,0,0,0,0.654606666831374,0.6569132599617,0.542598551521319,0.574202406114498,0.51660118846468,0,0.51271092872078,0.692169594203154,0,0.604561453394269,0.593422771432968,0,0.697289039204864,0,0,0,0.637827363854962,0.594886320367554,0.554310927003141,0,0.708968190440502,0.559390485333582,0.461274609244775,0.640016285975543,0.644025035883257,0.601402776675074,0.576442370642157,0.644036523917366,0.548785590277964
"3325","C25H25O15N1S0",578.115143,14,1,0.6,0.04,25,25,1,15,0,0,0.333333333333333,0.32,11,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0.40106214080248,0,0,0.381618542395958,0,0,0,0,0,0.420969301811251,0,0,0.479854847977333,0,0,0,0,0,0,0.527286260218709,0.409025437883287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523725328099231,0.456407857569035,0.463469887292448,0.515572584815943,0,0.56066957230037,0,0,0
"3326","C25H25O16N1S0",594.110057,14,1,0.64,0.04,25,25,1,16,0,0,0.3125,0.4,4,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406792431504231,0.331217581923322,0.367742240659428,0,0,0.390262066963926,0,0,0
"3327","C25H25O17N1S0",610.104972,14,1,0.68,0.04,25,25,1,17,0,0,0.290322580645161,0.48,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3331","C25H26O12N2S0",545.141298,14,1.04,0.48,0.08,25,26,2,12,0,0,0.352941176470588,0.16,1,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570051256571302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3333","C25H26O13N0S1",565.102135,13,1.04,0.52,0,25,26,0,13,1,0,0.314285714285714,0.0800000000000001,2,"Highly_Unsaturated_and_Phenolic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3335","C25H26O14N0S1",581.09705,13,1.04,0.56,0,25,26,0,14,1,0,0.294117647058824,0.16,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3341","C25H26O20N0S0",645.094467,13,1.04,0.8,0,25,26,0,20,0,0,0.2,0.56,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3343","C25H26O7N0S0",437.160577,13,1.04,0.28,0,25,26,0,7,0,0.333333333333333,0.441860465116279,-0.48,44,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32109953658118,0,0,0,0,0,0,0,0,0,0,0.313503872927685,0,0,0,0,0,0.518195876718535,0,0,0,0,0,0,0,0,0,0,0,0.310366667737687,0
"3346","C25H27O10N1S0",500.15622,13,1.08,0.4,0.04,25,27,1,10,0,0.142857142857143,0.368421052631579,-0.16,43,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0.48017891829302,0,0.444049354805539,0.359367758532849,0.467684893465652,0.386222750818506,0.4086453311435,0.464962690032955,0.458415416368164,0.323705833059666,0,0.437099603990087,0.42692731039747,0.429041228551123,0,0.371003399389462,0.511906555913008,0.344749123855346,0.430596988217817,0.42904294702134,0.416351782882353,0.361302640397895,0.396997184111241,0.428782244767575,0.452067358379374,0.487960856240314,0.390913121870787,0,0.419641934862366,0.458516286499398,0.37187940329799,0.495060431879382,0.459837975060967,0.45703494940128,0,0.43488262747347,0.446859332746504,0.42549713981025,0.387073227649498,0.375324725152652,0.425726579246956,0.397379917242076,0.441809615258102,0.360895047222142,0.579002672449526
"3349","C25H27O13N1S0",548.140963,13,1.08,0.52,0.04,25,27,1,13,0,0,0.314285714285714,0.0800000000000001,40,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,1.13665819348505,1.25463651797103,1.20574330837036,0,1.12270748604297,1.14818428049463,1.11870406211854,1.00299353235143,1.29665105728851,1.13211532497151,1.19385042776763,1.12977238097496,0,1.00205756159568,1.21182277224706,1.17682576946915,0,0,1.25228053269372,1.18359036822557,1.00322421748717,1.02352802278707,1.16513242187922,1.08630104704626,0.984981324411395,1.01936414303844,1.02583746769122,1.17767173818182,1.32862080952305,0,1.17681376865535,0,1.22540442814398,0,1.14812621147459,1.21522648953709,1.19669114050028,1.26765535211212,1.33052419313434,1.14514114023923,1.05045259668926,1.35973193720208,1.20776375922432,1.16163687096078,1.08921533081625,1.22354944744911,1.37069471718657
"3350","C25H27O14N1S0",564.135878,13,1.08,0.56,0.04,25,27,1,14,0,0,0.294117647058824,0.16,31,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,1.13212823328319,1.19692510582556,1.09780415906075,0,1.07904055122128,1.00265454386983,0,1.01576794887986,1.11278964119728,1.01500122521755,0,1.12264351753238,0,0,0,0,0,0,1.04852966109741,1.06060883903799,1.10379627446015,1.05681974222158,1.10502005422927,0,1.08315469478447,1.10384616222868,0,1.08196302118824,1.2879095412425,0,1.21355660749906,0,0,0,1.15849058022792,1.20200587156559,1.09114304130059,0,1.25656008812661,1.10547397333952,1.17408313618918,1.15446969044334,1.02600543419833,1.20832327933186,1.11713793869018,1.18139439784921,1.11162341665994
"3351","C25H27O15N1S0",580.130793,13,1.08,0.6,0.04,25,27,1,15,0,0,0.272727272727273,0.24,11,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0.793028924068058,0,0,0.775148497509897,0,0,0,0,0,0.740062335624282,0,0,0.876874324465313,0,0,0,0,0,0,0.91342444461426,0.843515958502217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05168788518207,0.790834119918634,0.863143864265346,1.03872264259032,0,0.936581076313528,0,0,0
"3352","C25H27O16N1S0",596.125707,13,1.08,0.64,0.04,25,27,1,16,0,0,0.25,0.32,4,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719719874389269,0.649604470740549,0.66959789727681,0,0,0.593260146771909,0,0,0
"3353","C25H27O17N1S0",612.120622,13,1.08,0.68,0.04,25,27,1,17,0,0,0.225806451612903,0.4,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370537564024042,0,0,0,0,0
"3354","C25H27O7N1S0",452.171476,13,1.08,0.28,0.04,25,27,1,7,0,0.294117647058824,0.414634146341463,-0.4,1,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3355","C25H27O8N1S0",468.16639,13,1.08,0.32,0.04,25,27,1,8,0,0.25,0.4,-0.32,11,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3356","C25H27O9N1S0",484.161305,13,1.08,0.36,0.04,25,27,1,9,0,0.2,0.384615384615385,-0.24,39,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0.353089666941545,0,0.333366386542527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308169303897873,0,0,0,0,0,0.365962679721811,0,0,0,0,0,0,0,0,0,0.328002237521373,0,0.314629598507667
"3360","C25H28O12N0S1",551.122871,12,1.12,0.48,0,25,28,0,12,1,0,0.277777777777778,-0.0800000000000001,20,"Highly_Unsaturated_and_Phenolic_LowOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3361","C25H28O12N2S0",547.156948,13,1.12,0.48,0.08,25,28,2,12,0,0,0.294117647058824,0.0800000000000001,1,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0028209885081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3365","C25H28O14N0S1",583.1127,12,1.12,0.56,0,25,28,0,14,1,0,0.235294117647059,0.0800000000000001,8,"Highly_Unsaturated_and_Phenolic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374532945951654,0.395565837523378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386374340108948,0,0,0,0,0,0.385058805809008,0,0.318485813545476,0,0
"3367","C25H28O15N0S1",599.107615,12,1.12,0.6,0,25,28,0,15,1,0,0.212121212121212,0.16,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312559966537954,0,0,0,0,0,0
"3372","C25H28O20N0S0",647.110117,12,1.12,0.8,0,25,28,0,20,0,0,0.133333333333333,0.48,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3373","C25H28O6N0S0",423.181312,12,1.12,0.24,0,25,28,0,6,0,0.315789473684211,0.409090909090909,-0.64,43,"Highly_Unsaturated_and_Phenolic_LowOC","CHO",0,0,0,0,0.336445835134681,0.320262388021978,0,0,0.31939683672637,0,0,0,0,0,0.321525101443985,0,0,0.307767091393324,0,0,0,0.315776166439889,0,0,0,0,0,0,0,0.324003077450059,0,0.337550035707866,0,0,0.486667690950713,0,0.314290821703462,0,0,0,0,0,0,0,0,0,0.328099274424554,0.32070711659464
"3377","C25H29O10N1S0",502.17187,12,1.16,0.4,0.04,25,29,1,10,0,0.0714285714285714,0.315789473684211,-0.24,43,"Highly_Unsaturated_and_Phenolic_LowOC","CHON",0,0.663101812060038,0.594897847778318,0.641544513063159,0,0.81101014710967,0.714039156713585,0.858339796973713,0.753023249299875,0.702110704783193,0.693500925338011,0.650093303488391,0.683277596265905,0,0.780194668157463,0.667910112170765,0.622441028054705,0,0.786347847865331,0.784947228862064,0.756520154693768,0.717676781062981,0.680537814290821,0.548459109815732,0.797285868881615,0.678151088188175,0.666542414507065,0.590374468883704,0.729313725592431,0.668599144463012,0,0.692386142138442,0.776013229991147,0.738020701238986,0.919532322648098,0.701527178288891,0.588968554567225,0.603950975729738,0.648684484609481,0.786662027886009,0.646840594148042,0.610018031310467,0.697452322982313,0.676888975028221,0.765878929143626,0.632255770016524,0.717855342189502,0.789353274937436
"3380","C25H29O13N1S0",550.156613,12,1.16,0.52,0.04,25,29,1,13,0,0,0.257142857142857,0,40,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,1.57689565087242,1.48989945690206,1.56201692958683,0,1.68786940826282,1.637112349059,1.73395428389125,1.53852901980995,1.6996218777977,1.80794788218286,1.71968285484765,1.51725686451569,0,1.41809609616248,1.50647913715738,1.55266258238984,0,0,1.79066038193242,1.65901398530052,1.46068307805208,1.75826095856895,1.39373866843017,1.55651200810108,1.5154900554714,1.50096794782222,1.40349786802081,1.77193911304402,1.87491369878831,0,1.69317913607749,0,1.75647783943262,0,1.68986884530642,1.62483103273455,1.69338987852481,1.77781420810522,1.88748400691048,1.78371989653942,1.53804798973541,1.94324053210857,1.74058313686302,1.71985574033795,1.6643646894986,1.71930993656235,1.69883996942164
"3381","C25H29O14N1S0",566.151528,12,1.16,0.56,0.04,25,29,1,14,0,0,0.235294117647059,0.0800000000000001,31,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,1.40028620964063,1.32625947188113,1.4163707529575,0,1.40310282316691,1.45303902939348,0,1.4481239482862,1.65414011147415,1.5334055198971,0,1.39359861409936,0,0,0,0,0,0,1.41901442536534,1.5174151166116,1.50324399347065,1.43847611940176,1.30467837549604,0,1.34836707668248,1.37780528469285,0,1.61565598347091,1.70366705860669,0,1.66844818001244,0,0,0,1.54103397249357,1.59896543623898,1.37588654419065,0,1.83305619879201,1.71141907097176,1.57218064477502,1.73924621438228,1.60847064984664,1.58413886842596,1.65813429672938,1.60355808957114,1.64899758644664
"3382","C25H29O15N1S0",582.146443,12,1.16,0.6,0.04,25,29,1,15,0,0,0.212121212121212,0.16,11,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,1.07977118556033,0,0,0.954273035464729,0,0,0,0,0,0.982482784090156,0,0,1.12578491763862,0,0,0,0,0,0,1.02313632900448,0.98758559956602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30085758020106,1.18412228864328,1.27431629288642,1.29497222202485,0,1.10931859388977,0,0,0
"3383","C25H29O16N1S0",598.141357,12,1.16,0.64,0.04,25,29,1,16,0,0,0.1875,0.24,4,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953723470680258,0.930717543443421,0.71857004245313,0,0,0.793312056069358,0,0,0
"3384","C25H29O17N1S0",614.136272,12,1.16,0.68,0.04,25,29,1,17,0,0,0.161290322580645,0.32,1,"Highly_Unsaturated_and_Phenolic_HighOC","CHON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392132286604747,0,0,0,0,0
