ID;Time;Aliphatic_HighOC_no;Aliphatic_LowOC_no;Condensed_aromatics_no;Condensed_aromatics.X_no;Highly_Unsaturated_and_Phenolic_HighOC_no;Highly_Unsaturated_and_Phenolic_LowOC_no;Peptide_like_no;Polyphenolic_HighOC_no;Polyphenolic_LowOC_no;Sugars_w_X_no;Sugars_wo_X_no;Num.formula_no;Aliphatic_HighOC_percent;Aliphatic_LowOC_percent;Condensed_aromatics_percent;Condensed_aromatics.X_percent;Highly_Unsaturated_and_Phenolic_HighOC_percent;Highly_Unsaturated_and_Phenolic_LowOC_percent;Peptide_like_percent;Polyphenolic_HighOC_percent;Polyphenolic_LowOC_percent;Sugars_w_X_percent;Sugars_wo_X_percent;CHO_no;CHON_no;CHOS_no;CHO.1_no;CHO.2;CHON_percent;CHOS_percent;CHO_percent_percent;AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Aliphatic_HighOC_percentRA;Aliphatic_LowOC_percentRA;Condensed_aromatics_percentRA;Condensed_aromatics.X_percentRA;Highly_Unsaturated_and_Phenolic_HighOC_percentRA;Highly_Unsaturated_and_Phenolic_LowOC_percentRA;Peptide_like_percentRA;Polyphenolic_HighOC_percentRA;Polyphenolic_LowOC_percentRA;Sugars_w_X_percentRA;Sugars_wo_X_percentRA;Condensed_Aromatics_percentRA;Polyphenolic_percentRA;Highly_Unsaturated_and_Phenolic_percentRA;Aliphatic_percentRA
M1;30;117;149;6;0;1262;991;21;50;58;0;0;2654;4.40844009042954;5.61416729464959;0.226073850791258;0;47.550866616428;37.3398643556895;0.791258477769405;1.88394875659382;2.18538055764883;0;0;1918;513;223;1918;72.268274302939;19.3293142426526;8.40241145440844;72.268274302939;494.794810030143;436.026059563969;1.23227151012596;0.512880635884709;0.00448464358156083;-0.190571468814654;0.235962615729963;0.0225267500526757;1.42567662607883;2.37075153157492;0.0197921224765486;0;57.1811205142427;38.250603667763;0.0928425793477506;0.294840126689741;0.364372831826514;0;0;0.0197921224765486;0.659212958516255;95.4317241820057;3.79642815765374
M2;90;120;171;2;0;1303;956;7;49;59;0;1;2668;4.49775112443778;6.40929535232384;0.0749625187406297;0;48.8380809595202;35.832083958021;0.262368815592204;1.83658170914543;2.21139430284858;0;0.0374812593703148;2020;414;234;2020;75.712143928036;15.5172413793103;8.77061469265367;75.712143928036;504.707268155172;439.2458407983;1.23072905668519;0.518180606482801;0.00341028589415548;-0.181731203676167;0.234500621129578;0.021638678635872;1.51453758303977;2.47376148772253;0.00657302790069367;0;59.0680391424648;36.2323199390982;0.0293670378112784;0.298788199880631;0.372634746252797;0;0.00397883582927748;0.00657302790069367;0.671422946133429;95.300359081563;3.98829907076231
M4;90;135;134;1;0;1366;966;15;47;44;0;2;2710;4.98154981549815;4.94464944649447;0.03690036900369;0;50.4059040590406;35.6457564575646;0.55350553505535;1.73431734317343;1.62361623616236;0;0.0738007380073801;1922;499;289;1922;70.9225092250923;18.4132841328413;10.6642066420664;70.9225092250923;513.710026282657;441.803787679346;1.23299982512106;0.521633628811443;0.004570093487682;-0.173166104191335;0.230643780759009;0.0183044486438404;1.61856885827005;2.16755167099453;0.00320996402504685;0;59.9235099693377;35.6616796519718;0.0712154690784647;0.27763989008078;0.269799285147625;0;0.00682524109399467;0.00320996402504685;0.547439175228405;95.5851896213095;3.78612052926458
M5;90;124;135;4;0;1283;932;17;55;48;0;1;2599;4.77106579453636;5.1943055021162;0.15390534821085;0;49.3651404386302;35.8599461331281;0.654097729896114;2.11619853789919;1.8468641785302;0;0.0384763370527126;1933;426;240;1933;74.3747595228934;16.3909195844556;9.23432089265102;74.3747595228934;508.037760871104;439.995876637933;1.22846745257656;0.522605808439684;0.00448914279855664;-0.166948892931383;0.233441757419945;0.0191157877094691;1.52579717199331;2.07938932873818;0.013167869736782;0;60.2037567306342;35.466058674239;0.0782820045906024;0.324503268747498;0.305581808586009;0;0.00346314273440695;0.013167869736782;0.630085077333508;95.6698154048732;3.60518650073149
M7;30;109;146;1;0;1458;1065;33;47;38;0;0;2897;3.76251294442527;5.03969623748706;0.0345184673800483;0;50.3279254401105;36.7621677597515;1.13910942354159;1.62236796686227;1.31170176044184;0;0;1961;733;203;1961;67.6907145322748;25.3020365895754;7.00724887814981;67.6907145322748;518.301119875388;447.185711346606;1.23365988626138;0.519367581832136;0.00616364558560305;-0.174563224958988;0.230275341381372;0.0177082789971531;1.28835075995635;2.19469361457615;0.00335886858833225;0;59.4116880766133;36.460679387307;0.167820642223335;0.250445966163736;0.222962684571812;0;0;0.00335886858833225;0.473408650735548;95.8723674639203;3.4830443745325
M6;7;92;130;0;0;1450;1072;38;42;40;0;2;2866;3.21004884856943;4.53593859036985;0;0;50.5931612002791;37.404047452896;1.32588974180042;1.46545708304257;1.39567341242149;0;0.0697836706210747;2005;737;124;2005;69.9581297976274;25.715282623866;4.32658757850663;69.9581297976274;527.796854110258;446.638629291218;1.23609590519514;0.519427001781869;0.00626854102244091;-0.177500970690348;0.229249051248604;0.0172537800051445;1.27653130139201;2.20622839144211;0;0;59.4977606389593;36.3414455684577;0.200167921050691;0.239759596442351;0.230040785627285;0;0.00806579662855526;0;0.469800382069636;95.839206207417;3.48275969283412
M8;20;112;131;0;0;1599;1079;29;48;33;0;0;3031;3.69515011547344;4.32200593863411;0;0;52.7548663807324;35.5988122731772;0.956779940613659;1.58363576377433;1.08874958759485;0;0;1986;711;334;1986;65.522929726163;23.4576047509073;11.0194655229297;65.522929726163;529.664568015836;446.791914037125;1.23212665666555;0.527747258725696;0.00594093338550798;-0.156102324863601;0.227255099015182;0.0160822659112666;1.39048005460257;1.98558792116318;0;0;62.3839433142223;33.6292512350335;0.146513176010257;0.268313734904544;0.195910564063651;0;0;0;0.464224298968195;96.0131945492558;3.37606797576574
M6;20;107;148;0;0;1476;1130;31;44;47;0;0;2983;3.58699296010727;4.96144820650352;0;0;49.4803888702648;37.8813275226282;1.03922225947033;1.47502514247402;1.57559503855179;0;0;2086;714;183;2086;69.9296010727456;23.9356352665102;6.13476366074422;69.9296010727456;520.308948560174;447.181385292698;1.23495542840154;0.514492643019548;0.00606063551782911;-0.18618421899447;0.231866767327301;0.0202313132505754;1.27848141874044;2.32732276692683;0;0;57.9775014269153;37.7441712464832;0.156349240440829;0.245688474407846;0.270485426085515;0;0;0;0.516173900493362;95.7216726733985;3.60580418566726
M6;90;119;151;5;0;1385;993;7;52;54;0;1;2767;4.30068666425732;5.45717383447777;0.180701120346946;0;50.0542103361041;35.8872425009035;0.252981568485725;1.87929165160824;1.95157209974702;0;0.0361402240693892;2055;411;301;2055;74.2681604625949;14.853632092519;10.8782074448862;74.2681604625949;512.018320413806;441.555155966694;1.23037764712745;0.518946602055217;0.00338033146089273;-0.179214901486074;0.233674267529728;0.0217885483152717;1.49184243334991;2.30172534147307;0.018021561004421;0;59.2459661116672;36.2314066095687;0.0316115710949959;0.309230664900697;0.365369042724311;0;0.00482666421664001;0.018021561004421;0.674599707625008;95.477372721236;3.79356777482298
M5;30;107;151;3;0;1444;1101;31;48;45;0;0;2930;3.6518771331058;5.15358361774744;0.102389078498294;0;49.2832764505119;37.5767918088737;1.0580204778157;1.6382252559727;1.5358361774744;0;0;2005;720;205;2005;68.4300341296928;24.5733788395904;6.99658703071672;68.4300341296928;509.471243106826;442.613417638388;1.2353049926475;0.51521173497611;0.00600124303546697;-0.184997993316216;0.231715616401279;0.0204592598400371;1.2990855111192;2.36537748875933;0.00981545663282409;0;57.9732181296336;37.6592669471492;0.159636011567195;0.270657054199642;0.262943400939101;0;0;0.00981545663282409;0.533600455138743;95.6324850767827;3.66446299987852
M2;20;122;146;7;0;1393;1044;17;57;60;0;0;2846;4.28671820098384;5.13000702740689;0.245959241040056;0;48.9458889669712;36.6830639494027;0.597329585382994;2.00281096275474;2.10822206605762;0;0;2048;493;305;2048;71.9606465214336;17.3225579761068;10.7167955024596;71.9606465214336;507.182421118763;439.632987137175;1.22979003947114;0.516784863474898;0.00453380380968882;-0.179526165865068;0.235022638368271;0.0225453730076929;1.45007419394457;2.25490850390917;0.0237224359309606;0;58.4647857980103;37.0091546613082;0.0753482042653457;0.327558176784201;0.394448025847237;0;0;0.0237224359309606;0.722006202631438;95.4739404593185;3.70498269785374
M7;90;80;147;2;0;1213;1015;23;46;56;0;0;2582;3.09837335398916;5.69326103795507;0.0774593338497289;0;46.9790859798606;39.3106119287374;0.890782339271882;1.78156467854376;2.16886134779241;0;0;2001;581;0;2001;77.4980635166538;22.5019364833462;0;77.4980635166538;498.699299607668;435.347227943405;1.23047690980046;0.511327717325233;0.00606245075791107;-0.189634122875916;0.23863461779365;0.0235395141018498;1.17946049913954;2.41937138541989;0.00707671995777935;0;56.784585878075;38.8556494511945;0.125102062780265;0.263824061013743;0.364929942419343;0;0;0.00707671995777935;0.628754003433086;95.6402353292694;3.59883188455943
