"","Epi0","Epi4","Epi7","Epi16","Epi21","Epi31","Epi92","Epi183","Meso0","Meso4","Meso7","Meso16","Meso21","Meso31","Meso92","Meso183","Bathy0","Bathy4","Bathy7","Bathy16","Bathy21","Bathy31","Bathy92","Bathy183"
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Pseudospirillum.1",1.181818182,1.6363636365,2.1818181815,17,91.72727273,271.36363635,29.09090909,15.09090909,0,0,0,0,2.909090909,118.3636364,7.818181818,8.5454545455,0,0,0,0,0,14.636363635,93.272727285,77.99999998
"Bacteria_Proteobacteria_NA_NA_NA_NA.1",2.450980392,2.0588235295,11.666666665,1158.7254902,89.999999985,2.843137255,0.882352941,0,0.1960784315,0,0,0,0,0.1960784315,0,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.1",727,109,185.5,542,452,494.5,563.5,632,611,0,21.5,39,26.5,74.5,100,85.5,698.5,41,0,0,0,0,87.5,101.5
"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_NA",5.217391304,2.8260869565,3.695652174,55,725.54347825,397.60869565,12.9347826065,14.56521739,0,0,0,0,35.978260865,12.9347826105,2.173913043,0.8695652175,0.652173913,0,0,0,21.739130435,13.913043476,4.8913043475,5.326086955
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.408450704,160.5633803,167.6056338,494.7887324,1.056338028,1.056338028
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Colwelliaceae_Colwellia.4",0,0,0,0,0,0,0,0,0,0,0,0,0,3.8732394365,5.352112676,0,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales_Porticoccaceae_Porticoccus",20.48387097,6.935483871,6.129032258,39.354838705,165.48387095,1156.4516131,36.93548387,123.38709675,0,0,0,0,2.0967741935,26.77419355,18.06451613,81.2903226,0,0,0,0,1.129032258,6.774193548,29.677419355,93.225806445
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Ascidiaceihabitans",1.851851852,0.5555555555,0.5555555555,5,12.407407405,18.703703705,42.407407405,42.59259259,0,0,0,0,0.7407407405,8.1481481485,907.7777778,342.962963,2.777777778,0,0,0,0,0,291.6666667,378.8888889
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Cryomorphaceae_Owenweeksia",0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,1480,0,0,0,0,0,0,0,0
"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas.4",0,6.6666666665,3.908045977,2.7011494255,0,0,0,0,16.03448276,68.96551724,58.44827586,34.540229885,25.8045977,0,0,0,4.540229885,20.40229885,19.59770115,9.48275862,10.517241379,0,0,0
"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Octadecabacter",0,3.3333333335,10.666666665,77.333333335,73,51.666666665,17.6666666685,4,0,0,0,15.3333333315,25.333333335,99.33333335,27.33333333,23,0,0,0,9,27.333333335,63.33333333,484.33333335,183
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Ulvibacter",41.666666665,57.777777775,89.72222222,88.05555554,252.0833333,267.77777775,116.666666685,37.77777778,0,0,0,0,2.361111111,1.9444444445,0,0,0,0,0,6.111111111,24.02777778,5,11.805555555,14.16666667
"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Oceanospirillaceae_Balneatrix",13,39,141.54545455,32.81818182,97.545454545,78.727272725,7.7272727275,6.2727272725,1.3636363635,0,0,21.363636365,68.727272725,15.90909091,3.090909091,14.72727273,0,0,0,20.000000001,59.454545455,8.0909090925,2.4545454545,1.909090909
"Bacteria_Proteobacteria_Alphaproteobacteria_OCS116_clade_NA_NA",137.407407395,26.48148148,51.666666665,52.22222222,51.111111115,98.70370372,192.2222222,31.11111111,48.51851852,1.4814814815,2.222222222,2.4074074075,3.7037037035,4.814814815,214.8148148,70,20.74074074,0,0,0,0.925925926,0,37.22222222,219.44444445
"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Pseudofulvibacter",0,0,0,201.1111111,195.83333335,136.38888885,28.75,21.944444445,2.222222222,0,1.25,25.972222225,25.555555555,25.416666665,7.777777778,4.861111111,0.8333333335,0,0,29.583333335,29.16666667,30.83333333,3.0555555555,8.0555555535
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Chesapeake.Delaware_Bay_NA",79.5,12,22.5,82,58,77,100.5,116.5,89.5,3.5,6.5,6,12.5,27.5,1934,1053,161.5,3.5,0,7,12.5,13.5,223,279.5
"Bacteria_Verrucomicrobia_OPB35_soil_group_NA_NA_NA",0,0,0,0,0,0,0,257.0833333,0,0,0,0,0,1.875,30.41666667,55.83333333,1.0416666665,0,0,0,0,0,1062.5,3.958333333
"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Surface_1_Candidatus_Pelagibacter.2",703.5,124,108.5,126,166,179.5,24.5,20,379,0,0,29.5,28.5,29,0,0,393.5,7,12.5,0,0,0,0,0
