"","Epi","Meso","Bathy"
"Day 0",-0.739086189366389,-0.695393544198357,-0.822522614515289
"Day 15",-0.751483985499384,-0.776374237102416,-1.25461010564132
"Day 30",-0.765865006165657,-0.75657179798315,-0.689293354486817
"Day 90",-0.725245762731579,-0.693218991958909,-0.698387074448349
