"","Epi","Meso","Bathy"
"Day 0",0,0.0281703932990261,0.0130942150933779
"Day 15",0.0110150777083343,0.00198341080396269,0.203969480935461
"Day 30",0.0122953401579607,0.11542297893358,0.00538210377991827
"Day 90",0.0120004996463803,0,0.00276668723425538
