"","Epi","Meso","Bathy"
"Day 0",0.689708443449315,0.675487979404694,0.686560806009099
"Day 15",0.674422193649661,0.678885028905306,0.690885236262354
"Day 30",0.66213440723089,0.661861779811449,0.664688609178073
"Day 90",0.660943852059475,0.651885727064008,0.652295096887286
